YouTube_ID,Video_ID,Caption,Frame_Start,Frame_End,FPS,Total_Duration,Total_Frames
UPx-mXRrrvk,UPx-mXRrrvk_0,"A serene landscape featuring a water body with an island and a pagoda. People leisurely move along the walkways, occasionally changing positions.",0,1506,25,60.28,1507
bytRMr3l-AI,bytRMr3l-AI_0,"A lively outdoor plaza surrounded by tall buildings. People walk, gather in groups, and change positions within the space.",0,1456,25,58.32,1458
GwIYUvQYh9s,GwIYUvQYh9s_0,"A static desert landscape with rugged terrain and mountains. The geological features and vegetation remain unchanged, with no movement observed.",0,1505,25,60.24,1506
jB7xgk_zWBw,jB7xgk_zWBw_0,"An ornate and grand interior hall resembling a historical palace. A person moves in the foreground, adding a dynamic element to the still scene.",0,1482,25,59.32,1483
wDTNM5IKRi0,wDTNM5IKRi0_0,"A lively public space with a significant architectural structure and a fountain. People walk, stand, and interact in small groups, with subtle shifts in their positions.",0,1531,25,61.28,1532
tbMyuZbB04Q,tbMyuZbB04Q_0,A lively festive scene by the illuminated city skyline at night. People browse the market stalls and walk along the promenade.,0,1487,25,59.52,1488
-efj62DCHJ8,-efj62DCHJ8_0,"A serene canal scene bordered by greenery and historic structures. Traditional boats remain moored along the banks, and the water stays calm.",0,1844,25,73.8,1845
0XV4qIazjnQ,0XV4qIazjnQ_0,"A lively outdoor marketplace filled with vendors and shoppers. New figures appear near the central monument, while the bustling crowd continues to move among the stalls.",0,1452,25,58.12,1453
9w_tYFojPig,9w_tYFojPig_0,"A deserted columned hall with natural light and shadows. People enter and exit the hall, including one pushing a stroller and another in a red top who leaves the frame.",0,1555,25,62.24,1556
X0xfwlc0dcw,X0xfwlc0dcw_3,"An elegant café filled with patrons dining and conversing. Guests eat and talk at their tables, while staff attend to them at the bar.",748,1006,25,71.04,1776
X0xfwlc0dcw,X0xfwlc0dcw_4,"An elegant café with patrons dining and conversing. A new patron enters with a pastry, and patrons subtly shift their positions and interactions.",1057,1312,25,71.04,1776
X0xfwlc0dcw,X0xfwlc0dcw_5,A bustling bakery with a warm and inviting atmosphere. Patrons queue at the counter and engage in conversation while waiting.,1363,1603,25,71.04,1776
X0xfwlc0dcw,X0xfwlc0dcw_1,"A bustling cobblestone street with a lively café atmosphere. People walk, converse, and sit at outdoor tables around the café.",154,394,25,71.04,1776
X0xfwlc0dcw,X0xfwlc0dcw_2,"A bustling street scene centered around the ""Cecilia"" restaurant. People dine at outdoor tables, walk by, and gather in groups; pedestrian traffic flows continuously.",445,646,25,71.04,1776
XRKn4_AS8eE,XRKn4_AS8eE_0,"A serene garden scene with a gazebo and lush greenery. The garden remains unchanged, with no movement or action observed.",0,1309,25,52.4,1310
4GKqu9S0uFU,4GKqu9S0uFU_0,"A spacious public plaza with a central fountain and surrounding greenery. The fountain jets water into the air, and a person walks steadily across the plaza.",0,1373,25,54.96,1374
rC_ztalmuHg,rC_ztalmuHg_0,"A tranquil evening at an ancient amphitheater with increasing crowds. Visitors arrive and congregate, some standing and shifting as the sun sets.",0,1228,25,49.16,1229
PaKy3LAi-V8,PaKy3LAi-V8_0,"A serene outdoor scene featuring a large metallic structure amidst lush greenery and water. The metallic structure remains stationary, and the sunlight creates shadows without any movement in the environment.",947,1245,25,49.84,1246
bvDl_U-u_aw,bvDl_U-u_aw_0,"A group of people on a rocky outcrop overlooking a green valley. The people remain still, taking in the view.",0,1452,25,58.16,1454
LtsHt9RRb24,LtsHt9RRb24_0,"A rainy day scene in a city plaza with a modern building. People walk briskly, some using umbrellas, while others seek shelter.",0,1386,25,55.48,1387
0R6X-m4d9fo,0R6X-m4d9fo_0,"A bustling city street filled with pedestrians. People walk, cross the street, push strollers, walk dogs, and carry items.",0,1517,25,60.72,1518
S2c_M0MiuyY,S2c_M0MiuyY_0,A grand corridor with a vaulted ceiling leading to an open courtyard. The architectural features and the outdoor environment remain unchanged.,0,1102,25,44.12,1103
WCSVIFHCRRM,WCSVIFHCRRM_0,"A skateboarder rides through various outdoor environments, starting from a ramp and moving towards a campsite. The skateboarder descends the ramp, slows down on a flat area, navigates curves, crosses an intersection, and passes tents and vehicles while maintaining a consistent speed.",0,3944,25,157.8,3945
m2eVXOJCCdc,m2eVXOJCCdc_0,"A bustling cobblestone square filled with people and varied architecture. People walk, gather in groups, and sit on benches, with slight changes in their positions.",0,1515,25,60.64,1516
5n5J2OjWl6E,5n5J2OjWl6E_0,"A bright and modern greenhouse filled with diverse plants and visitors. Visitors walk along paths, interacting with plants and exploring the space.",0,1079,25,43.24,1081
l2AIla9NOwY,l2AIla9NOwY_0,"A serene hot air balloon ascends slowly in an open field. The balloon rises steadily, the horizon drops, and a distant flare briefly appears.",0,2259,25,90.44,2261
y58pi7asaLU,y58pi7asaLU_0,"A cobblestone corridor surrounded by old stone buildings. One person walks away, another stands by the archway, and a couple are on the stairs.",0,1446,25,57.88,1447
RcrTSohjC10,RcrTSohjC10_0,"A lively public square filled with people on a sunny day. People are seated, walking, and standing in groups, while the obelisk and buildings remain static.",0,1447,25,57.92,1448
b2BRZ7Z-exc,b2BRZ7Z-exc_0,"A tranquil plaza centered around an ornate arch-shaped building. The trees and parked vehicles remain still, and there is no movement in the scene.",0,1492,25,59.72,1493
So08f6x7G2M,So08f6x7G2M_0,"An urban street scene at an intersection with wet tarmac. The traffic light turns green, the stationary car begins to move forward through the intersection.",0,1331,25,53.28,1332
HyMk7Q6dRLk,HyMk7Q6dRLk_0,"An archaeological site with ancient ruins and lush greenery. Visitors explore the ruins, and vegetation sways gently in the wind.",0,1478,25,59.2,1480
wCq7G7qlNjM,wCq7G7qlNjM_0,A tranquil cobblestone square with a central fountain and surrounding buildings. There is no movement or change in the scene; everything remains still.,0,1513,25,60.56,1514
XiF6ld0w-GE,XiF6ld0w-GE_0,"A tranquil forest scene with a curving path and slender trees. The path remains still, with no movement or changes in the environment.",0,1176,25,47.08,1177
HYZ-ESGKexM,HYZ-ESGKexM_0,"A serene outdoor park scene with a metallic structure and greenery. The metallic structure remains stationary, and the surrounding trees and lawn show no movement.",0,1460,25,58.44,1461
iPOWroae8_E,iPOWroae8_E_0,"A lively public square filled with people and beautiful architecture. People walk, converse, rest on benches, enter buildings, and gather in groups; crowd density fluctuates.",0,1452,25,58.12,1453
wiP_A0Qw3X4,wiP_A0Qw3X4_0,"A lively plaza with traditional architecture and a performance area. People walk, converse, and gather near the performance area before dispersing.",0,1756,25,70.28,1757
4ZXUSgLRNEU,4ZXUSgLRNEU_0,"A serene scene on a bridge with pedestrians enjoying the atmosphere. People walk, stand, or sit on the bridge, with no rush in their movements.",0,1777,25,71.12,1778
